,clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
133,0,9341,9336,10000,1,1,1,1,1,1,0,0,1,1,1,1,-5
134,0,9341,9335,10000,0,0,-1,1,1,1,-1,1,-1,1,-2,2,-6
135,0,9341,9335,10000,0,0,1,1,-1,1,0,0,-2,2,-2,2,-6
136,0,9341,9335,10000,0,0,0,0,-1,1,0,0,2,2,-2,2,-6
137,0,9340,9337,10000,-1,1,-1,1,-1,1,2,2,2,2,0,0,-3
138,0,9341,9335,10000,1,1,0,0,1,1,-2,2,0,0,-1,1,-6
139,0,9341,9336,10000,0,0,0,0,-1,1,1,1,-1,1,1,1,-5
140,0,9339,9337,10000,-2,2,-3,3,-4,4,1,1,4,4,1,1,-2
141,0,9339,9337,10000,0,0,-1,1,-1,1,0,0,1,1,1,1,-2
142,0,9342,9336,10000,3,3,1,1,2,2,-1,1,0,0,0,0,-6
143,0,9339,9336,10000,-3,3,-2,2,-2,2,0,0,1,1,1,1,-3
144,0,9340,9335,10000,1,1,-1,1,-1,1,-1,1,0,0,-2,2,-5
145,0,9341,9336,10000,1,1,0,0,-1,1,1,1,1,1,0,0,-5
146,0,9341,9336,10000,0,0,1,1,1,1,0,0,-1,1,1,1,-5
147,0,9341,9336,10000,0,0,0,0,0,0,0,0,1,1,2,2,-5
148,0,9341,9334,10000,0,0,0,0,0,0,-2,2,-2,2,0,0,-7
149,0,9340,9337,10000,-1,1,1,1,-2,2,3,3,0,0,2,2,-3
150,0,9340,9336,10000,0,0,1,1,0,0,-1,1,-1,1,-1,1,-4
151,0,9340,9336,10000,0,0,-2,2,-1,1,0,0,0,0,1,1,-4
152,0,9339,9336,10000,-1,1,0,0,-2,2,0,0,0,0,0,0,-3
153,0,9339,9336,10000,0,0,-1,1,0,0,0,0,1,1,0,0,-3
154,0,9339,9336,10000,0,0,-2,2,0,0,0,0,0,0,0,0,-3
155,0,9341,9336,10000,2,2,0,0,1,1,0,0,0,0,0,0,-5
156,0,9340,9336,10000,-1,1,-1,1,0,0,0,0,0,0,1,1,-4
157,0,9340,9335,10000,0,0,-1,1,1,1,-1,1,1,1,-2,2,-5
158,0,9340,9334,10000,0,0,0,0,1,1,-1,1,-3,3,-1,1,-6
159,0,9340,9334,10000,0,0,0,0,1,1,0,0,-2,2,-2,2,-6
160,0,9340,9335,10000,0,0,0,0,1,1,1,1,-1,1,-1,1,-5
161,0,9340,9337,10000,0,0,1,1,0,0,2,2,1,1,2,2,-3
162,0,9339,9335,10000,-1,1,0,0,-3,3,-2,2,-1,1,-2,2,-4
163,0,9339,9334,10000,0,0,0,0,-1,1,-1,1,-2,2,0,0,-5
164,0,9340,9335,10000,1,1,-1,1,-2,2,1,1,-1,1,-1,1,-5
165,0,9340,9335,10000,0,0,0,0,-2,2,0,0,-1,1,0,0,-5
166,0,9341,9337,10000,1,1,1,1,-1,1,2,2,2,2,2,2,-4
167,0,9339,9335,10000,-2,2,-1,1,-2,2,-2,2,1,1,0,0,-4
168,0,9339,9336,10000,0,0,-1,1,-2,2,1,1,2,2,0,0,-3
169,0,9341,9337,10000,2,2,1,1,1,1,1,1,2,2,1,1,-4
170,0,9340,9336,10000,-1,1,0,0,-1,1,-1,1,-1,1,0,0,-4
171,0,9340,9336,10000,0,0,1,1,1,1,0,0,1,1,0,0,-4
172,0,9340,9334,10000,0,0,1,1,1,1,-2,2,0,0,-2,2,-6
173,0,9340,9335,10000,0,0,0,0,0,0,1,1,0,0,0,0,-5
174,0,9340,9337,10000,0,0,0,0,-2,2,2,2,2,2,1,1,-3
175,0,9340,9335,10000,0,0,-1,1,0,0,-2,2,-2,2,-2,2,-5
176,0,9341,9334,10000,1,1,2,2,0,0,-1,1,-1,1,1,1,-7
177,0,9341,9334,10000,0,0,2,2,0,0,0,0,-2,2,-1,1,-7
178,0,9341,9335,10000,0,0,0,0,0,0,1,1,-2,2,0,0,-6
179,0,9341,9335,10000,0,0,1,1,0,0,0,0,-1,1,-2,2,-6
180,0,9339,9337,10000,-2,2,-1,1,-3,3,2,2,1,1,4,4,-2
181,0,9340,9334,10000,1,1,0,0,0,0,-3,3,0,0,-2,2,-6
