clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
0,6426.0,9158.0,0.0,1.0,1.0,-3.0,3.0,-21.0,21.0,1.0,1.0,-3.0,3.0,-12.0,12.0,2732.0
0,6426.0,9159.0,0.0,0.0,0.0,-3.0,3.0,-22.0,22.0,1.0,1.0,2.0,2.0,-9.0,9.0,2733.0
0,6425.0,9157.0,0.0,-1.0,1.0,-3.0,3.0,-23.0,23.0,-2.0,2.0,-2.0,2.0,-11.0,11.0,2732.0
0,6425.0,9157.0,0.0,0.0,0.0,-3.0,3.0,-19.0,19.0,0.0,0.0,0.0,0.0,-10.0,10.0,2732.0
0,6423.0,9157.0,0.0,-2.0,2.0,-4.0,4.0,-21.0,21.0,0.0,0.0,-2.0,2.0,-10.0,10.0,2734.0
0,6424.0,9157.0,0.0,1.0,1.0,-3.0,3.0,-23.0,23.0,0.0,0.0,0.0,0.0,-10.0,10.0,2733.0
0,6426.0,9157.0,0.0,2.0,2.0,-1.0,1.0,-18.0,18.0,0.0,0.0,0.0,0.0,-9.0,9.0,2731.0
0,6423.0,9157.0,0.0,-3.0,3.0,-4.0,4.0,-20.0,20.0,0.0,0.0,-2.0,2.0,-10.0,10.0,2734.0
0,6422.0,9157.0,0.0,-1.0,1.0,-3.0,3.0,-21.0,21.0,0.0,0.0,0.0,0.0,-10.0,10.0,2735.0
0,6422.0,9157.0,0.0,0.0,0.0,-4.0,4.0,-20.0,20.0,0.0,0.0,-1.0,1.0,-9.0,9.0,2735.0
0,6423.0,9156.0,0.0,1.0,1.0,-3.0,3.0,-19.0,19.0,-1.0,1.0,-3.0,3.0,-10.0,10.0,2733.0
0,6423.0,9156.0,0.0,0.0,0.0,-2.0,2.0,-18.0,18.0,0.0,0.0,-1.0,1.0,-9.0,9.0,2733.0
0,6423.0,9156.0,0.0,0.0,0.0,-2.0,2.0,-18.0,18.0,0.0,0.0,-1.0,1.0,-9.0,9.0,2733.0
0,6422.0,9156.0,0.0,-1.0,1.0,-1.0,1.0,-19.0,19.0,0.0,0.0,-1.0,1.0,-10.0,10.0,2734.0
0,6421.0,9156.0,0.0,-1.0,1.0,-3.0,3.0,-18.0,18.0,0.0,0.0,-1.0,1.0,-8.0,8.0,2735.0
0,6421.0,9156.0,0.0,0.0,0.0,-5.0,5.0,-19.0,19.0,0.0,0.0,-1.0,1.0,-9.0,9.0,2735.0
